order_id,order_purchase_timestamp,payment_sequential,payment_type,payment_installments,payment_value,review_score,customer_unique_id,customer_state,product_category_name
f94be056d3d4f784555461ec0c2c19db,2017-06-08 11:18:47,1,credit_card,2,119.94,5,c11c87f1bdcf10efbe8fee744928c767,MG,housewares
cf7dd05504fa5d4ddab58fcb69bb18a6,2017-05-02 16:32:37,1,credit_card,2,111.86,4,5fcdfdcc429b8b707ca957274c8f8d8f,RJ,housewares
2d164d0e1a9bf9183533b441ccd8796d,2017-06-28 20:47:14,1,credit_card,3,75.03,5,bf6bdab86c9bf5f5e6aafe5be999993a,SP,housewares
657c8133b6409d539b814888352b50f1,2017-06-03 11:50:59,1,credit_card,1,75.03,5,c96b9f12e8d8b767988234c2ca0d95ce,SP,housewares
86c0dd8bf457a10687920d54ee6fb12e,2017-05-19 15:20:58,1,credit_card,3,60.5,5,acc6272ca5228177e324bd704e24488f,SP,housewares
b7c7121d097737e9dc40325e48481e42,2017-06-28 12:48:55,1,credit_card,6,61.58,5,d32b388b3c40e8bb7d1a828afb842f75,SP,housewares
2b20baf94a095e002981091891209751,2017-05-29 21:35:00,1,voucher,1,26.87,4,871f04508eb8336a8e7a7289e8b3fe7d,SP,housewares
2b20baf94a095e002981091891209751,2017-05-29 21:35:00,2,voucher,1,34.71,4,871f04508eb8336a8e7a7289e8b3fe7d,SP,housewares
ea200c2f72468756bdc5cd200dbc7a8a,2017-05-24 11:22:48,1,voucher,1,61.58,3,8fe6ccf0f64d9f15b6286394e4fc9942,SP,housewares
cb76073dcac4855294787c458ec58b68,2017-05-18 14:17:01,1,credit_card,2,66.64,5,9b458553be21b8b42fda74098ce6d9e6,SC,housewares
8c76360cdd0bb9fda017969a3d273dc1,2017-05-16 07:54:03,1,boleto,1,57.59,4,1d49972e6a573d4fc315bd8c388a6249,SP,housewares
bc013111c60b015626cc7e438ddb0823,2017-06-28 18:52:40,1,boleto,1,68.74,4,6f68bd1eaca4aff135be0967231ecbbd,MG,housewares
2b2dd432bec6d33562a2dd8962ff1e61,2017-06-01 09:01:29,1,credit_card,8,86.99,5,95717dc240e965aaa7bbbbd67518f26d,MG,housewares
d7265f36cbd2814e8be76a4fca48a1d8,2017-05-18 11:54:08,1,credit_card,1,95.31,5,b85081fd0080956c8808f326a9039e85,RJ,housewares
5ba291a4740d9f7973e2f135a6a7f54f,2017-05-08 11:45:34,1,credit_card,2,51.69,5,ce1422ea681a87fe34f97776b0bc803f,SP,housewares
a3a5d73f1d5b6acf698fdd0e795d2ec5,2017-05-03 17:04:37,1,credit_card,1,54.56,4,1b1d83efed255b0a6b212b9f679f5367,PR,housewares
d738667fa4f31f5d89dd8dfcc07699ec,2017-05-08 12:05:40,1,boleto,1,51.69,5,4372e5fa60912ce319a7a75a8c3ce61f,SP,housewares
2f246ee329fce6932458bc7a10625d2a,2017-05-26 18:35:51,1,credit_card,4,41.69,5,ee25395beccf60a948ec3591ec9ddacf,BA,housewares
429820950af3ab4d3ce2ea5897c9182f,2017-05-30 01:31:09,1,credit_card,2,40.0,5,026c7e2e8e363c7e734a716f9c70dfc3,RJ,housewares
315ab79b5d15b5e9304d729579d36a42,2017-03-10 11:45:28,1,credit_card,3,34.86,5,c0c0c50de0f9c7089f7de06b69577afc,SP,housewares
d4e42f9170131eed76bf87f17541bc48,2017-03-11 14:21:09,1,credit_card,1,1.48,5,fc617e1d85eb5f935300c7943f732217,SP,housewares
d4e42f9170131eed76bf87f17541bc48,2017-03-11 14:21:09,2,voucher,1,33.38,5,fc617e1d85eb5f935300c7943f732217,SP,housewares
9f73f9300dc3e9f8efc83f19da546881,2017-04-19 17:23:15,1,credit_card,1,34.86,5,9634506e629708834ecc42acc3c90019,SP,housewares
d99b88619176350e49d910a4e548b951,2017-06-08 11:09:37,1,credit_card,2,66.01,5,5afe5092c3fa95bf7290839f3cea7e16,RS,housewares
f10bf9222606964a98b1a5792871c43c,2017-06-06 14:54:05,1,boleto,1,66.01,5,b1c3a2eb5dd4e5653ed72d8c1b0f8853,MG,housewares
d1be5514260cbf085a5c99771a5b2741,2017-06-16 22:00:17,1,credit_card,5,64.77,5,7076e1d260017df80ba8cea3e7b53ced,SP,housewares
1a30d2ac91d72bf360521fad21067487,2017-06-12 10:30:58,1,credit_card,6,66.01,4,293b791060422a836254019d2e994ef8,RS,housewares
7d9c214c1febcd31fd655b4853bf3c38,2017-06-29 11:47:42,1,boleto,1,62.17,5,4a2d9f6fc118aa66891982662c63eff3,SP,housewares
434cecee7d1a65fc65358a632b6f725f,2017-05-29 13:21:46,1,credit_card,2,62.76,3,781f80ac54444e4020dc3f70f044d8b3,SP,housewares
f7efe4b422fd5a4d6415687184ce9059,2017-06-11 13:38:28,1,credit_card,1,66.01,5,c8b9d96c38916a738b394d87b319d41e,RS,housewares
8aaa6469d7ef4134e807e6b4da146012,2017-05-30 15:07:48,1,credit_card,6,60.17,5,6ad8b4d9cdddf93bca459b4821e1a81b,SP,housewares
6cd1a4eb4b9a14b5a991a897f096d443,2017-06-04 18:21:10,1,credit_card,4,62.76,5,8676c0cd5b7c5ffaa5ba1bba22eb6946,SP,housewares
9ce8430d551b7b0e371800e7a6ebb991,2017-05-30 18:06:44,1,credit_card,1,66.01,4,8717dde36f43e22153824349e677949b,SC,housewares
01b6bbf0a9ac5d54dfebb11ddcd8fa8e,2017-06-25 22:18:02,1,credit_card,1,64.77,5,0f687670823f779b76513fc03d33aab2,SP,housewares
092adae6d0744065b0482cb014c671c9,2017-06-05 15:33:07,1,credit_card,3,62.76,5,fc09bd9c52826077629d200d15cf05fd,SP,housewares
468c2f34312a6d270a20c7aef082041c,2017-05-25 00:11:01,1,credit_card,5,51.0,2,ca681af5ab07e1b26a4a7322d06b0948,GO,housewares
6d633f7b64b5aadd2d278944717b8585,2017-06-27 10:55:49,1,credit_card,2,43.01,4,aec26dc2c2b036799619e965e1b3f8e5,RJ,housewares
259ec9586950682cf8417030d1b4a6ac,2017-03-25 19:22:00,1,credit_card,3,82.84,5,059e4dfa8c1b3dd4e5179e126987f1b9,MG,housewares
259ec9586950682cf8417030d1b4a6ac,2017-03-25 19:22:00,1,credit_card,3,82.84,5,059e4dfa8c1b3dd4e5179e126987f1b9,MG,housewares
a8c012ba7d95bd2d15f666681f19c146,2017-02-06 19:47:10,1,credit_card,1,41.42,4,83941fec1ea0d5752f8a0bfa124a5bb0,RJ,housewares
6b9d30f0b006a467142d46f2280c7fe7,2017-04-28 13:14:01,1,credit_card,1,41.42,5,084366719c9127e938b149e75dd48ad8,MG,housewares
107280d6c872d2faa258ccce4d2e8798,2017-03-16 10:02:57,1,credit_card,1,37.86,5,e7c814132cd3a9f26e5a71a819d6b21e,SP,housewares
94eb877f9f8fc251fafee5cd18ccbfa2,2017-06-19 10:46:23,1,credit_card,2,53.79,4,8f5d5587481508affdc1cca91a5186b2,PA,housewares
b843f3e786e91ebc527779dc682f5487,2017-02-12 01:27:41,1,credit_card,3,37.86,5,1d889107c6acf0d432404cb55326140c,SP,housewares
0d68c551465186fc0cc6b48f617e0f3a,2017-03-19 21:29:07,1,boleto,1,42.95,4,e89fed84ed8b2024c15f83cb33b95d39,MS,housewares
c8dee79811750611b390fe9501b1c543,2017-02-08 19:45:22,1,credit_card,5,51.74,5,c5de5fafe22ef9984f1c1b66834a7427,RN,housewares
